Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
T50,MoSS_MN,MoSS_Dir,0.0,0.0,1.0,1.0
MAX,MoSS_MN,MoSS_Dir,0.9,0.5638655462184874,0.1,0.1
MAX,MoSS_MN,MoSS_Dir,0.9,0.15714285714285714,0.1,0.2
MAX,MoSS_MN,MoSS_Dir,0.4,0.4,0.1,0.4
MAX,MoSS_MN,MoSS_Dir,0.9,0.0008097165991901578,0.1,0.6
MAX,MoSS_MN,MoSS_Dir,0.4,0.5487804878048781,0.1,0.8
MAX,MoSS_MN,MoSS_Dir,0.4,0.5030737704918034,0.1,1.0
MAX,MoSS_MN,MoSS_Dir,0.75,0.4841121495327102,0.25,0.1
MAX,MoSS_MN,MoSS_Dir,0.75,0.3991189427312776,0.25,0.2
MAX,MoSS_MN,MoSS_Dir,0.25,0.4,0.25,0.4
MAX,MoSS_MN,MoSS_Dir,0.5,0.45714285714285735,0.25,0.6
MAX,MoSS_MN,MoSS_Dir,0.25,0.2746543778801843,0.25,0.8
MAX,MoSS_MN,MoSS_Dir,0.25,0.6291079812206573,0.25,1.0
MAX,MoSS_MN,MoSS_Dir,0.25,0.297196261682243,0.5,0.1
MAX,MoSS_MN,MoSS_Dir,0.25,0.30697674418604654,0.5,0.2
MAX,MoSS_MN,MoSS_Dir,0.5,0.6,0.5,0.4
MAX,MoSS_MN,MoSS_Dir,0.25,0.6,0.5,0.6
MAX,MoSS_MN,MoSS_Dir,0.25,0.5142857142857145,0.5,0.8
MAX,MoSS_MN,MoSS_Dir,0.25,0.6834862385321101,0.5,1.0
MAX,MoSS_MN,MoSS_Dir,0.0,0.40000000000000013,0.75,0.1
MAX,MoSS_MN,MoSS_Dir,0.25,0.2565217391304348,0.75,0.2
MAX,MoSS_MN,MoSS_Dir,0.0,0.5710144927536231,0.75,0.4
MAX,MoSS_MN,MoSS_Dir,0.0,0.2563218390804597,0.75,0.6
MAX,MoSS_MN,MoSS_Dir,0.0,0.39130434782608703,0.75,0.8
MAX,MoSS_MN,MoSS_Dir,0.0,1.0,0.75,1.0
MAX,MoSS_MN,MoSS_Dir,0.25,0.1,1.0,0.1
MAX,MoSS_MN,MoSS_Dir,0.0,0.2,1.0,0.2
MAX,MoSS_MN,MoSS_Dir,0.0,0.4,1.0,0.4
MAX,MoSS_MN,MoSS_Dir,0.0,0.2269230769230769,1.0,0.6
MAX,MoSS_MN,MoSS_Dir,0.0,0.8,1.0,0.8
MAX,MoSS_MN,MoSS_Dir,0.25,0.0,1.0,1.0
MS,MoSS_MN,MoSS_Dir,0.9,0.38,0.1,0.1
MS,MoSS_MN,MoSS_Dir,0.4,0.3190476190476191,0.1,0.2
MS,MoSS_MN,MoSS_Dir,0.9,0.08230088495575216,0.1,0.4
MS,MoSS_MN,MoSS_Dir,0.4,0.118,0.1,0.6
MS,MoSS_MN,MoSS_Dir,0.4,0.2695431472081218,0.1,0.8
MS,MoSS_MN,MoSS_Dir,0.4,0.5,0.1,1.0
MS,MoSS_MN,MoSS_Dir,0.75,0.41100000000000003,0.25,0.1
MS,MoSS_MN,MoSS_Dir,0.5,0.313,0.25,0.2
MS,MoSS_MN,MoSS_Dir,0.5,0.4,0.25,0.4
MS,MoSS_MN,MoSS_Dir,0.75,0.09599999999999997,0.25,0.6
MS,MoSS_MN,MoSS_Dir,0.5,0.30800000000000005,0.25,0.8
MS,MoSS_MN,MoSS_Dir,0.5,0.504,0.25,1.0
MS,MoSS_MN,MoSS_Dir,0.25,0.40900000000000003,0.5,0.1
MS,MoSS_MN,MoSS_Dir,0.25,0.289,0.5,0.2
MS,MoSS_MN,MoSS_Dir,0.25,0.128,0.5,0.4
MS,MoSS_MN,MoSS_Dir,0.25,0.09599999999999997,0.5,0.6
MS,MoSS_MN,MoSS_Dir,0.25,0.328169014084507,0.5,0.8
MS,MoSS_MN,MoSS_Dir,0.25,0.524,0.5,1.0
MS,MoSS_MN,MoSS_Dir,0.0,0.405,0.75,0.1
MS,MoSS_MN,MoSS_Dir,0.0,0.2724770642201836,0.75,0.2
MS,MoSS_MN,MoSS_Dir,0.0,0.08099999999999996,0.75,0.4
MS,MoSS_MN,MoSS_Dir,0.0,0.121,0.75,0.6
MS,MoSS_MN,MoSS_Dir,0.0,0.32000000000000006,0.75,0.8
MS,MoSS_MN,MoSS_Dir,0.0,0.51,0.75,1.0
MS,MoSS_MN,MoSS_Dir,0.25,0.392,1.0,0.1
MS,MoSS_MN,MoSS_Dir,0.25,0.2,1.0,0.2
MS,MoSS_MN,MoSS_Dir,0.25,0.067,1.0,0.4
MS,MoSS_MN,MoSS_Dir,0.25,0.10699999999999998,1.0,0.6
MS,MoSS_MN,MoSS_Dir,0.0,0.29000000000000004,1.0,0.8
MS,MoSS_MN,MoSS_Dir,0.25,0.523,1.0,1.0
MS2,MoSS_MN,MoSS_Dir,0.4,0.40833333333333344,0.1,0.1
MS2,MoSS_MN,MoSS_Dir,0.4,0.2611872146118721,0.1,0.2
MS2,MoSS_MN,MoSS_Dir,0.9,0.10681818181818181,0.1,0.4
MS2,MoSS_MN,MoSS_Dir,0.4,0.11442307692307707,0.1,0.6
MS2,MoSS_MN,MoSS_Dir,0.4,0.2895833333333333,0.1,0.8
MS2,MoSS_MN,MoSS_Dir,0.4,0.49898167006109984,0.1,1.0
MS2,MoSS_MN,MoSS_Dir,0.5,0.40000000000000013,0.25,0.1
MS2,MoSS_MN,MoSS_Dir,0.5,0.3069444444444445,0.25,0.2
MS2,MoSS_MN,MoSS_Dir,0.5,0.131,0.25,0.4
MS2,MoSS_MN,MoSS_Dir,0.75,0.4,0.25,0.6
MS2,MoSS_MN,MoSS_Dir,0.75,0.31219512195121946,0.25,0.8
MS2,MoSS_MN,MoSS_Dir,0.75,0.4757281553398057,0.25,1.0
MS2,MoSS_MN,MoSS_Dir,0.25,0.3697682263761559,0.5,0.1
MS2,MoSS_MN,MoSS_Dir,0.25,0.314,0.5,0.2
MS2,MoSS_MN,MoSS_Dir,0.25,0.11399999999999999,0.5,0.4
MS2,MoSS_MN,MoSS_Dir,0.5,0.10299999999999998,0.5,0.6
MS2,MoSS_MN,MoSS_Dir,0.25,0.30600000000000005,0.5,0.8
MS2,MoSS_MN,MoSS_Dir,0.25,0.5,0.5,1.0
MS2,MoSS_MN,MoSS_Dir,0.0,0.386,0.75,0.1
MS2,MoSS_MN,MoSS_Dir,0.0,0.314,0.75,0.2
MS2,MoSS_MN,MoSS_Dir,0.0,0.10799999999999998,0.75,0.4
MS2,MoSS_MN,MoSS_Dir,0.0,0.124,0.75,0.6
MS2,MoSS_MN,MoSS_Dir,0.0,0.31400000000000006,0.75,0.8
MS2,MoSS_MN,MoSS_Dir,0.0,0.496,0.75,1.0
MS2,MoSS_MN,MoSS_Dir,0.25,0.40900000000000003,1.0,0.1
MS2,MoSS_MN,MoSS_Dir,0.25,0.2999999999999997,1.0,0.2
MS2,MoSS_MN,MoSS_Dir,0.25,0.09999999999999998,1.0,0.4
MS2,MoSS_MN,MoSS_Dir,0.25,0.07899999999999996,1.0,0.6
MS2,MoSS_MN,MoSS_Dir,0.0,0.8,1.0,0.8
MS2,MoSS_MN,MoSS_Dir,0.25,0.479,1.0,1.0
DyS,MoSS_MN,MoSS,0.15,0.7997546550096587,0.1,0.1
DyS,MoSS_MN,MoSS,0.15,0.623841827919627,0.1,0.2
DyS,MoSS_MN,MoSS,0.4,0.21089598436743906,0.1,0.4
DyS,MoSS_MN,MoSS,0.9,0.3305121345581351,0.1,0.6
DyS,MoSS_MN,MoSS,0.15,0.6016402143131767,0.1,0.8
DyS,MoSS_MN,MoSS,0.15,0.9979357970867214,0.1,1.0
DyS,MoSS_MN,MoSS,0.25,0.8399383428682532,0.25,0.1
DyS,MoSS_MN,MoSS,0.75,0.651547681073291,0.25,0.2
DyS,MoSS_MN,MoSS,0.5,0.24680959716580264,0.25,0.4
