Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
X_method,MoSS_Dir,MoSS_Dir,0.0,0.09794238683127571,0.25,0.4
X_method,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.25,0.6
X_method,MoSS_Dir,MoSS_Dir,0.0,0.30000000000000004,0.25,0.8
X_method,MoSS_Dir,MoSS_Dir,0.0,0.4917864476386037,0.25,1.0
X_method,MoSS_Dir,MoSS_Dir,0.5,0.4619469026548674,0.5,0.1
X_method,MoSS_Dir,MoSS_Dir,0.0,0.3240174672489083,0.5,0.2
X_method,MoSS_Dir,MoSS_Dir,0.5,0.09999999999999998,0.5,0.4
X_method,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.5,0.6
X_method,MoSS_Dir,MoSS_Dir,0.5,0.2773662551440329,0.5,0.8
X_method,MoSS_Dir,MoSS_Dir,0.5,0.4999999999999999,0.5,1.0
X_method,MoSS_Dir,MoSS_Dir,0.25,0.4414847161572053,0.75,0.1
X_method,MoSS_Dir,MoSS_Dir,0.0,0.3,0.75,0.2
X_method,MoSS_Dir,MoSS_Dir,0.0,0.15482456140350875,0.75,0.4
X_method,MoSS_Dir,MoSS_Dir,0.25,0.05540916136618734,0.75,0.6
X_method,MoSS_Dir,MoSS_Dir,0.0,0.17179487179487163,0.75,0.8
X_method,MoSS_Dir,MoSS_Dir,0.0,0.4999999999999999,0.75,1.0
X_method,MoSS_Dir,MoSS_Dir,0.25,0.31326530612244896,1.0,0.1
X_method,MoSS_Dir,MoSS_Dir,0.25,0.3,1.0,0.2
X_method,MoSS_Dir,MoSS_Dir,0.0,0.07804878048780478,1.0,0.4
X_method,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,1.0,0.6
X_method,MoSS_Dir,MoSS_Dir,0.25,0.30000000000000004,1.0,0.8
X_method,MoSS_Dir,MoSS_Dir,0.0,0.5000000000000002,1.0,1.0
T50,MoSS_Dir,MoSS_Dir,0.0,0.40672503683121763,0.1,0.1
T50,MoSS_Dir,MoSS_Dir,0.0,0.3,0.1,0.2
T50,MoSS_Dir,MoSS_Dir,0.0,0.11823217170551581,0.1,0.4
T50,MoSS_Dir,MoSS_Dir,0.0,0.08362235067437374,0.1,0.6
T50,MoSS_Dir,MoSS_Dir,0.0,0.28588120740019474,0.1,0.8
T50,MoSS_Dir,MoSS_Dir,0.0,0.5000253412294005,0.1,1.0
T50,MoSS_Dir,MoSS_Dir,0.0,0.3931237721021611,0.25,0.1
T50,MoSS_Dir,MoSS_Dir,0.0,0.2940944881889763,0.25,0.2
T50,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.25,0.4
T50,MoSS_Dir,MoSS_Dir,0.0,0.1005045408678103,0.25,0.6
T50,MoSS_Dir,MoSS_Dir,0.0,0.2965034965034966,0.25,0.8
T50,MoSS_Dir,MoSS_Dir,0.0,0.49502982107355864,0.25,1.0
T50,MoSS_Dir,MoSS_Dir,0.0,0.38987854251012144,0.5,0.1
T50,MoSS_Dir,MoSS_Dir,0.5,0.3121951219512195,0.5,0.2
T50,MoSS_Dir,MoSS_Dir,0.0,0.06666666666666671,0.5,0.4
T50,MoSS_Dir,MoSS_Dir,0.0,0.11014492753623184,0.5,0.6
T50,MoSS_Dir,MoSS_Dir,0.5,0.30884353741496606,0.5,0.8
T50,MoSS_Dir,MoSS_Dir,0.5,0.4951724137931035,0.5,1.0
T50,MoSS_Dir,MoSS_Dir,0.25,0.4043914680050188,0.75,0.1
T50,MoSS_Dir,MoSS_Dir,0.25,0.3121951219512195,0.75,0.2
T50,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.75,0.4
T50,MoSS_Dir,MoSS_Dir,0.25,0.0431818181818181,0.75,0.6
T50,MoSS_Dir,MoSS_Dir,0.0,0.8,0.75,0.8
T50,MoSS_Dir,MoSS_Dir,0.25,0.4838709677419355,0.75,1.0
T50,MoSS_Dir,MoSS_Dir,0.25,0.396028723751496,1.0,0.1
T50,MoSS_Dir,MoSS_Dir,0.0,0.30613799283154125,1.0,0.2
