Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
SMM,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.009784631966488155,0.1,0.1,0.5,1
ACC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
X_method,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
T50,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.5,0.1,0.1,0.5,1
MAX,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
MS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
MS2,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
CC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
DyS,None,MoSS_Dir,MoSS_Dir,0.008530061269502065,0.1,0.1,0.5,1
HDy,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,1
SORD,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
SMM,None,MoSS_Dir,MoSS_Dir,0.010052012638840035,0.1,0.1,0.5,1
ACC,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
X_method,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
T50,None,MoSS_Dir,MoSS_Dir,0.5,0.1,0.1,0.5,1
MAX,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
MS,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
MS2,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,1
CC,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,1
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.006792338430329337,0.1,0.1,0.5,2
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.013929017010913425,0.1,0.1,0.5,2
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.002008032128514081,0.1,0.1,0.5,2
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
T50,MoSS,MoSS_Dir,MoSS_Dir,0.4578544061302682,0.1,0.1,0.5,2
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.002008032128514081,0.1,0.1,0.5,2
